Vessel_ID,IATTC_Number.x,Vessel_Name.x,Call_Sign.x,Port_of_Registration.x,Port_of_Registration_State.x,Length.m.,Beam..m.,Depth..m.,Gross_Ton.mt.,Engine_Power.hp..x,Year_Built.x,Hull_Material.y,Fish.hold.volume..m3.,Gear.x
1020677,NA,SWAN,WCP5561,Crescent City,CA,12.16092655,3.68790003,2.285888449,24,NA,1993,FRP (Fiberglass),NA,NA
1021219,10049,Erin Nicole,WCJ7710,Seattle,WA,17.37,4.75,1.95,32,300,1994,Steel,48,Pole and line
1023959,NA,Hardrock,WBDQ,Crescent City,CA,9.8,3,1.2,8,NA,1994,Concrete,NA,NA
1024821,10423,Ladysmith,WCO2858,San Francisco,CA,28.8,7.92,3.68,179,500,1994,NA,100,NA
1026311,14032,Lil Angel,WK5453,St Helens,OR,9.44,3.65,1.82,13,500,1994,FRP (Fiberglass),NA,Troll
1029958,9653,Nancy M,WDD3058,Winchester Bay,OR,26.97,7.31,3.65,159,400,1995,Steel,155,Troll
1034163,NA,MAR-C,WDE6256,Ilwaco,WA,11.58183481,3.962206644,1.676318196,18,NA,1995,FRP (Fiberglass),NA,NA
1034946,10741,Oliva Marie,WDG8882,Ilwaco,WA,13.1,3.87,1.61,17,140,1983,FRP (Fiberglass),16,Troll
1034951,NA,TWO MIKES,WDD3410,Astoria,OR,14.87351417,4.571776897,2.407802499,38,200,1995,Steel,NA,NA
1035271,NA,SHANTEH,,Portland,OR,14.32490094,3.962206644,1.798232246,13,NA,1995,FRP (Fiberglass),NA,NA
1035687,11361,Yaznak,WDG6166,Carmel,CA,17.64,6.09,2.89,66,318,1995,Steel,88,Troll
1038177,9941,Dalena,WDD6404,Bellingham,WA,27.24,7.31,3.93,169,425,1995,Steel,180,Multi-purpose
1038700,NA,DALENA,WDD6404,Bellingham,WA,27.24779031,7.314843036,3.931728132,186,540,1995,FRP (Fiberglass),NA,NA
1040092,10891,Tombo,WDJ8466,Westport,WA,17.06,5.48,4.14,83,300,1996,FRP (Fiberglass),51,Multi-purpose
1040505,11241,Marina,WDF5745,Anacortes,WA,27.24,7.31,3.93,171,540,1996,Steel,170,Longline
1042151,12663,Lechelle II,,Westport,WA,9.75,4.26,2.43,22,600,1996,Aluminum,NA,Troll
1043151,11329,Wendy Seaa,WDD4689,Anacortes,WA,32.49,7.55,4.17,176,590,1964,Steel,159,Troll
1046666,12399,Sea Hunt,WDC3196,Honolulu,HI,23.68,7.31,3.81,122,671,1996,Steel,NA,Longline
1047279,NA,J&C,WDE5064,Half Moon Bay,CA,9.052118257,3.56598598,1.828710759,13,NA,1996,FRP (Fiberglass),NA,NA
1047576,15004,Connie S,WDG2104,San Diego,CA,24.17,7.31,3.84,129,500,1996,Steel,NA,Multi-purpose
1048306,NA,DANI-C,WDE2208,Reedsport,OR,11.76470588,3.68790003,2.042060347,20,NA,1996,Steel,NA,NA
1048809,10065,Excalibur,WCX2495,Shelter Cove,CA,23.89,7.01,3.68,123,440,1996,Steel,96,Troll
1050716,13712,Rachel,WDG7521,Seattle,WA,27.46,7.62,3.87,177,625,1997,Steel,NA,Longline
1051462,NA,SURVIVOR,WDD6817,UTULEI,AS,20.17677537,7.010057909,3.718378543,134,400,1997,Steel,NA,NA
1052597,7435,Southern Horizon,WDE9588,San Diego,CA,27.24,7.31,3.93,171,575,1997,Steel,159,Longline
1053984,NA,AMERICA,WDE5910,Pago Pago,AS,23.89515392,7.010057909,3.68790003,156,NA,1997,Steel,NA,Longline
1057008,NA,Seasnail,WCY5538,Eureka ,CA,22.8,6.9,3.3,123,NA,1997,Steel,NA,Troller
1060400,15493,Talisman,WDE6771,Berkeley,CA,11.33,4.02,1.28,12,415,1997,FRP (Fiberglass),NA,Troll
1061147,15246,Alison F,WDG4225,San Diego,CA,24.71,7.31,3.84,131,540,1997,Steel,69,Pole and line
1062346,NA,LADY JANE,WDJ6820,ELFIN COVE,AK,12.19140506,3.718378543,1.554404145,16,200,1997,FRP (Fiberglass),NA,NA
1063312,NA,VIXEN,WDH4333,Reedsport,OR,27.06491923,7.924413289,2.834501676,180,950,1998,Steel,NA,NA
1065761,NA,MILLENNIUM,WDI3835,Morro Bay,CA,14.9344712,4.266991771,2.133495885,32,580,1998,FRP (Fiberglass),NA,NA
1066161,14135,Tiburon,WDE5775,King Salmon,AK,16.15,5.02,2.74,31,200,1997,FRP (Fiberglass),NA,Troll
1066929,9919,Cookie Cutter,WDA7184,Tacoma,WA,13.71,4.57,1.21,20,800,1969,FRP (Fiberglass),2,Troll
1071954,NA,FJORD QUEEN II,,Half Moon Bay,CA,13.71533069,4.266991771,2.438281012,33,NA,1998,Wood,NA,NA
1072286,NA,Polar Fish,WCY8566,Honolulu,HI,23,6.7,3.7,145,NA,NA,Steel,NA,NA
1074005,NA,MARLINS II,WCY8463,Westport,WA,25.5409936,7.314843036,3.657421518,146,350,1998,Steel,NA,NA
1075973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1075988,NA,MISS CONDUCT,,Florence,OR,12.49619019,3.352636391,1.889667784,18,250,1952,Wood,NA,NA
1084528,10761,Ossian,WCZ5425,Winchester Bay,OR,22.7,7.92,4.11,155,660,1999,Steel,159,Troll
1089889,NA,WIND WALKER,WDB9434,Neah Bay,WA,16.79366047,4.60225541,1.249619019,17,200,1999,Steel,NA,NA
1099271,15816,Tailchaser II,,Trinidad,CA,7.62,2.62,1.37,5,225,2000,FRP (Fiberglass),NA,Troll
1110940,15160,Shirley B,WDG2136,San Diego,CA,25.35,7.62,4.05,149,500,2001,Steel,NA,Multi-purpose
1115186,14997,Chelsea Jeannie,,San Diego,CA,7.62,2.59,1.52,5,200,2000,FRP (Fiberglass),NA,Troll
1119857,NA,INSPIRATION,,Brookings,OR,21.33495885,6.705272783,2.438281012,82,NA,2001,Steel,NA,NA
1121787,15180,Svetlana M,WDG2135,San Diego,CA,26.15,7.92,3.81,159,900,2001,Steel,NA,Multi-purpose
1132795,15051,Stephanie M,WDG2103,San Diego,CA,26.94,7.62,3.81,155,900,2002,Steel,NA,Multi-purpose
1133912,13050,Gail Force,WZB6760,Tokeland,WA,13.99,5.12,1.82,27,490,2002,Aluminum,NA,Troll
1134702,13813,Westwind,WDD3229,MONTEREY,CA,8.83,3.65,1.61,11,315,2002,FRP (Fiberglass),NA,Recreational fishing
1147424,NA,HYDRA,WDD2240,Sitka,CA,12.80097531,4.724169461,2.895458702,41,360,2003,FRP (Fiberglass),NA,NA
1149820,NA,PURA VIDA,,PANAMA CITY,FL,12.95336788,4.541298385,2.377323987,33,NA,2003,FRP (Fiberglass),NA,NA
1149893,NA,FISH TALES II,WDE7620,Florence,OR,10.66747943,3.992685157,1.645839683,16,240,1980,FRP (Fiberglass),NA,NA
1150898,NA,RENARD,WDC4176,Bellingham,WA,15.23925632,6.09570253,2.590673575,56,500,2004,Steel,NA,NA
1152905,NA,AMBUSH,WDD4062,Fort Bragg,CA,13.10576044,4.327948796,1.676318196,22,480,1975,FRP (Fiberglass),NA,NA
1163239,15769,Maliyata,,Tiburon,CA,9.78,3.23,1.67,11,500,2004,FRP (Fiberglass),NA,Troll
1165057,NA,SEELICIOUS,,Portland,OR,9.295946358,3.230722341,1.61536117,11,NA,2004,FRP (Fiberglass),NA,NA
1170824,NA,BETTY ELLEN,,Trinidad,CA,7.619628162,2.590673575,1.828710759,8,NA,2005,FRP (Fiberglass),NA,NA
1171177,14467,Equinox,WDG8681,Brookings,OR,15.24,6.09,2.65,53,400,2005,Steel,NA,Multi-purpose
1172054,13524,Jes An,WDC8463,Fort Bragg,CA,19.17,7.46,3.65,112,640,2005,Steel,NA,Troll
1173976,14146,Mirage,WDD5540,San Diego,CA,18.13,5.63,2.95,64,1600,2005,FRP (Fiberglass),NA,Harpoon
1178421,NA,LADY FISH,,San Francisco,CA,8.838768668,3.444071929,1.676318196,12,NA,NA,FRP (Fiberglass),NA,NA
1185010,NA,STONEY,WDE5298,Juneau,AK,12.80097531,3.962206644,1.645839683,19,375,2006,FRP (Fiberglass),NA,NA
1192581,14098,Raptor,WDE5845,Seattle,WA,15.63,4.32,2.28,33,120,2008,FRP (Fiberglass),NA,Troll
1193066,13312,Nola K,WDD5011,Chinook,WA,13.41,4.57,1.82,24,590,2006,Aluminum,NA,Troll
1196847,NA,OPPORTUNATY,WDI8880,Portland,OR,13.04480341,3.870771106,1.920146297,22,NA,2004,FRP (Fiberglass),NA,NA
1197677,NA,MAD MAX,,San Diego,CA,11.18561414,3.047851265,1.219140506,9,NA,2007,FRP (Fiberglass),NA,NA
1199907,NA,SILVER WAVE,,HOQUIAM,WA,11.15513563,3.962206644,1.798232246,18,390,2007,FRP (Fiberglass),NA,NA
1203668,14000,Ginger L,,Garibaldi,OR,7.92,3.29,1.98,11,520,2007,Aluminum,NA,Troll
1204344,NA,AQUARIUS,WDE6226,Newport,OR,10.97226455,3.474550442,1.523925632,13,NA,2007,FRP (Fiberglass),NA,NA
1213437,14030,Dayna S,WDE5278,Seattle,WA,23.98,7.28,3.65,126,470,1998,Steel,NA,Troll
1214458,13948,4th Watch,WDE7023,Santa Barbara,CA,11.18,4.05,1.58,15,500,2008,NA,NA,Troll
1217326,14447,Cascade,WDE9116,Reedsport,OR,14.63,5.48,2.43,42,300,2009,NA,NA,Troll
1217586,NA,Coho,WDG3484,Kalawock,AK,11.58,3.8,1.5,12,NA,NA,NA,NA,NA
1221588,14470,Fat Cat,NA,Ilwaco,WA,10.46,3.29,1.52,11,740,2008,FRP (Fiberglass),NA,NA
1222557,14526,Pacific Gem,WDF2666,Westport,WA,14.78,5.48,4.05,70,333,2010,Steel,NA,Troll
1223771,16312,Terlin Gin,,Kailua-Kona,HI,14.02,4.51,1.21,15,700,2009,NA,NA,Multi-purpose
1224473,14993,Catalyst,WBG3950,Harbor,OR,14.02,5.18,1.82,28,375,2009,FRP (Fiberglass),NA,Troll
1225024,15060,Kimberly D,,Astoria,OR,10.36,3.96,1.21,10,500,2010,FRP (Fiberglass),NA,Troll
1228801,14994,Charlotte B,WDG8391,Astoria,OR,17.67,6.09,1.95,73,250,1998,Steel,NA,Multi-purpose
1235788,NA,THUNDER,,Portland,OR,9.78360256,3.10880829,1.767753734,12,NA,NA,FRP (Fiberglass),NA,NA
1237502,15340,Aqua Leo,WDG2589,Santa Cruz,CA,13.71,5.48,2.28,36,300,2012,Steel,NA,Multi-purpose
1237767,15029,Flying Cloud,,Seattle,WA,14.5,5.02,2.25,34,1200,2012,FRP (Fiberglass),NA,Troll
1239376,NA,KATIE LU,,Garibaldi,OR,10.66747943,3.200243828,1.523925632,12,NA,2009,Aluminum,NA,NA
1241035,15353,Captain Bruno,,Crescent City,CA,12.8,4.72,2.83,35,275,2012,Aluminum,NA,Troll
1243483,15421,Miss Emilie,WDG8680,Brookings,OR,14.02,4.93,2.13,31,650,2012,FRP (Fiberglass),NA,Multi-purpose
1249836,16165,Pamela Sue,WDH7461,Warrenton,OR,14.53,6.4,2.28,45,350,2013,Aluminum,NA,Multi-purpose
1266895,16274,Express Style,,Westport,WA,9.14,3.04,0.91,5,500,2016,FRP (Fiberglass),NA,Multi-purpose
169591,13495,Behmer,WDE5132,Charleston,OR,13.8,4.2,0.97,13,135,1926,Wood,NA,Troll
208535,NA,Helen Mccoll,WA5757,Portland,OR,20.0304878,5.030487805,2.012195122,36,NA,1911,Wood,NA,NA
208755,13991,Fishhog,WDD6239,Neah Bay,WA,14.75,3.96,1.7,24,235,1911,Wood,NA,Troll
209503,NA,Decorah,WDB6257,Charleston,OR,25.94512195,5.335365854,2.743902439,95,NA,1911,Wood,NA,NA
210703,NA,LA OLA,WA7002,San Francisco,CA,12.49619019,3.626943005,1.584882658,16,NA,1912,Wood,NA,NA
211928,12591,Constitution,WDC5210,Bellingham,WA,19.96,5.36,2.68,53,325,1914,Wood,NA,Troll
212295,NA,GRAYLING,WCY3209,Newport,OR,13.258153,4.084120695,1.706796708,23,NA,1914,Wood,NA,NA
213768,NA,ACME,WG9614,Bodega Bay,CA,15.39164889,4.571776897,1.371533069,22,NA,1915,Wood,NA,NA
214689,10427,Lancing,WDC3920,Coos Bay,OR,13.74,3.96,1.88,18,150,1917,Wood,25,Multi-purpose
214847,15133,Phoenix III,,Newport,OR,15.08,4.26,2.01,30,300,1917,Wood,NA,Troll
214862,15188,Texas,WDF5452,Winchester Bay,OR,13.31,4.38,1.82,21,318,1917,Wood,NA,Troll
214942,NA,INDIANA,WDD9598,Port Townsend,WA,15.20877781,4.480341359,1.859189272,30,230,1917,Wood,NA,NA
214967,NA,FRANK F,WA2749,Florence,OR,19.87199025,5.18134715,2.224931423,50,450,1917,Wood,NA,NA
215510,9891,Chinook,WDG6204,Westport,WA,13.44,3.9,1.37,22,200,1917,Wood,4,Multi-purpose
215739,NA,DELA,WD9727,Coos Bay,OR,12.0390125,3.718378543,1.371533069,15,NA,1917,Wood,NA,NA
216407,NA,TACORA,WF5753,Astoria,OR,10.57604389,2.98689424,2.255409936,16,NA,1918,Wood,NA,NA
219720,10175,Grant,WGB3459,Portland,OR,9.6,2.8,1.21,7,85,1920,Wood,5,Troll
219929,NA,MEMORIES,WDD9758,Neah Bay,WA,10.88082902,3.230722341,2.133495885,16,150,1920,Wood,NA,NA
219934,NA,MARY L,WCZ5824,Ilwaco,WA,10.1188662,2.682109113,1.341054557,9,85,1920,Wood,NA,NA
220057,NA,Miss Amy Sue,NA,Charleston,OR,15.21341463,4.237804878,,31,NA,1920,Wood,NA,NA
221858,NA,ZEBRA,WB5040,Neah Bay,WA,16.33648278,4.266991771,1.219140506,24,230,1921,Wood,NA,NA
222245,10311,Joanne,WDA2415,Charleston,OR,13.19,3.77,1.37,12,120,1917,Wood,NA,Troll
223373,NA,SMOTH BROS NO 2,WDA3221,Half Moon Bay,CA,14.05059433,4.419384334,1.737275221,25,NA,1923,Wood,NA,NA
223423,NA,Moon,WCZ2683,Charleston,OR,14.48170732,3.536585366,NA,23,NA,1923,Wood,NA,NA
