"LANDING_YEAR","AGENCY_CODE","PACFIN_GROUP_PORT_CODE","PACFIN_PORT_CODE","PACFIN_PORT_NAME","ROUND_WEIGHT_MTONS","ROUND_PRICE_PER_POUND","EXVESSEL_REVENUE","NUMBER_OF_TRIPS","NUMBER_OF_VESSELS","NUMBER_OF_DEALERS","CONFIDENTIAL_FLAG"
"1981","C","BDA","BDG","BODEGA BAY",192.68,.85,359035,145,93,5,""
"1981","C","BGA","BRG","FORT BRAGG",436.26,.87,839246.06,336,219,12,""
"1981","C","CCA","CRS","CRESCENT",171.8,.87,329066.44,86,61,9,""
"1981","C","ERA","ERK","EUREKA",1658.61,.89,3265605.33,287,221,15,""
"1981","C","ERA","FLN","FIELDS LDG",,,,1,1,1,"*"
"1981","C","LAA","DNA","DANA POINT",.32,.95,678.1,4,4,3,""
"1981","C","LAA","LGB","LONG BEACH",,,,1,1,1,"*"
"1981","C","LAA","NWB","NEWPORT B.",,,,4,3,2,"*"
"1981","C","LAA","OLA","O LA/ORG",.9,1.08,2145.3,10,7,6,""
"1981","C","LAA","SP","SAN PEDRO",143.99,.94,299588.1,80,50,13,""
"1981","C","LAA","TRM","TERMINAL I",797.65,.9,1582727.86,158,101,4,""
"1981","C","MNA","CRZ","SANTA CRUZ",3.85,.89,7533.36,21,14,4,""
"1981","C","MNA","MNT","MONTEREY",128.65,.87,247317.39,68,38,9,""
"1981","C","MNA","MOS","MOSS LNDG",1439.43,.87,2769938.41,467,285,6,""
"1981","C","MRA","AVL","AVILA",242.56,.87,466109.95,82,56,3,""
"1981","C","MRA","MRO","MORRO BAY",736.77,.88,1422165.38,232,150,4,""
"1981","C","SBA","OXN","OXNARD",3.05,.93,6269.6,6,3,3,""
"1981","C","SBA","SB","S. BARBARA",,,,7,5,2,"*"
"1981","C","SDA","OCN","OCEANSIDE",,,,3,3,2,"*"
"1981","C","SDA","OSD","O S DIEGO",.96,.99,2092.25,8,5,4,""
"1981","C","SDA","SD","SAN DIEGO",1305.39,.9,2585769.5,1047,402,30,""
"1981","C","SFA","BKL","BERKELEY",,,,1,1,1,"*"
"1981","C","SFA","OAK","OAKLAND",,,,296,188,1,"*"
"1981","C","SFA","PRN","PRINCETON",16.71,.88,32345.42,17,11,4,""
"1981","C","SFA","SF","SF",446.87,.87,856712.64,176,115,10,""
"1981","C","SFA","SLT","SAUSALITO",,,,26,21,2,"*"
"1981","C","XXX SUBTOTAL","","WITHHELD FOR CONFIDENTIALITY**",1606.47,.87,3093456,,,,""
"1981","O","BRA","BRK","BROOKINGS",29.84,.87,57177,29,25,6,""
"1981","O","BRA","GLD","GOLD BEACH",,,,6,3,2,"*"
"1981","O","BRA","ORF","ORFORD",,,,11,8,2,"*"
"1981","O","CBA","BDN","BANDON",,,,3,3,1,"*"
"1981","O","CBA","COS","COOS BAY",810.27,.87,1547172.1,419,264,16,""
"1981","O","CBA","FLR","FLORENCE",,,,5,4,1,"*"
"1981","O","CBA","WIN","WINCHESTER",128.4,.88,249925.26,66,35,10,""
"1981","O","CLO","AST","ASTORIA",1824.68,.86,3473793.9,243,179,14,""
"1981","O","NPA","DPO","DEPOE BAY",6.38,.86,12122.96,10,9,3,""
"1981","O","NPA","NEW","NEWPORT",633.18,.87,1208157.22,329,224,13,""
"1981","O","TLA","PCC","PACIFIC",,,,7,7,2,"*"
"1981","O","TLA","TLL","TLMK/GRBLD",25.96,.87,49610.2,50,40,4,""
"1981","O","XXX SUBTOTAL","","WITHHELD FOR CONFIDENTIALITY**",46.16,.87,88271.23,,,,""
"1981","W","CLW","LWC","ILWCO/CHNK",274.04,.87,525147.14,79,61,5,""
"1981","W","CLW","OCR","O COL WA",,,,1,1,1,"*"
"1981","W","CWA","GRH","GRAYS HRBR",,,,2,2,1,"*"
"1981","W","CWA","LAP","LA PUSH",,,,7,7,2,"*"
"1981","W","CWA","OWC","O WA COAST",,,,2,2,2,"*"
"1981","W","CWA","WLB","WILLAPA",,,,1,1,1,"*"
"1981","W","CWA","WPT","WESTPORT",416.68,.86,792722.07,167,145,6,""
"1981","W","NPS","BLL","BELLINGHAM",61.17,.86,115527.43,8,5,4,""
"1981","W","NPS","NEA","NEAH BAY",,,,3,3,1,"*"
"1981","W","NPS","PAG","PT ANGELES",12.8,.89,25016.89,8,8,4,""
"1981","W","NPS","TNS","TOWNSEND",,,,2,2,1,"*"
"1981","W","SPS","EVR","EVERETT",,,,1,1,1,"*"
"1981","W","SPS","OLY","OLYMPIA",,,,2,2,1,"*"
"1981","W","SPS","SEA","SEATTLE",96.28,.86,183299.81,35,26,6,""
"1981","W","XXX SUBTOTAL","","WITHHELD FOR CONFIDENTIALITY**",12.66,.96,26722.21,,,,""
"1982","C","BDA","BDG","BODEGA BAY",12.98,.67,19045.22,17,14,4,""
"1982","C","BDA","OSM","O SNMA/MRN",,,,1,1,1,"*"
"1982","C","BGA","BRG","FORT BRAGG",74.44,.65,107293.24,27,19,7,""
