FISHERY,BOATNUM,DATE_FISHED,DURATION,TROLL_LINE,POLE,LATITUDE,LONGITUDE,SPECIES,FISH_RETAINED,FISH_DISCARDED
LTL-ALB-NP,1021219,01-AUG-15,10,,2,46.16667,-125.16667,ALB,256,
LTL-ALB-NP,1021219,02-AUG-15,10,,2,46.26667,-125.01667,ALB,482,
LTL-ALB-NP,1021219,03-AUG-15,10,,2,46,-124.88333,ALB,470,
LTL-ALB-NP,1021219,04-AUG-15,10,,2,46.35,-125.3,ALB,922,
LTL-ALB-NP,1021219,05-AUG-15,10,,2,46.4,-125.36667,ALB,624,
LTL-ALB-NP,1021219,06-AUG-15,10,,2,46.01667,-124.88333,ALB,938,
LTL-ALB-NP,1021219,07-AUG-15,10,,2,46.01667,-125.16667,ALB,196,
LTL-ALB-NP,1021219,08-AUG-15,10,,2,47.5,-126.01667,ALB,536,
LTL-ALB-NP,1021219,09-AUG-15,10,,2,47.46667,-126.16667,ALB,1328,
LTL-ALB-NP,1021219,10-AUG-15,10,,2,46.5,-125.01667,ALB,212,
LTL-ALB-NP,1021219,01-SEP-15,9,,2,46.01667,-125,ALB,900,
LTL-ALB-NP,1021219,02-SEP-15,9,,2,45.66667,-124.83333,ALB,2008,
LTL-ALB-NP,1021219,03-SEP-15,9,,2,45.68333,-124.96667,ALB,602,
LTL-ALB-NP,1021219,05-SEP-15,9,,2,46.38333,-125.26667,ALB,900,
LTL-ALB-NP,1021219,06-SEP-15,9,,2,46.41667,-124.95,ALB,662,
LTL-ALB-NP,1021219,16-SEP-15,9,,2,46.01667,-125.7,ALB,1316,
LTL-ALB-NP,1021219,17-SEP-15,9,,2,46.85,-125.01667,ALB,328,
LTL-ALB-NP,1021219,18-SEP-15,9,,2,46.98333,-125.2,ALB,682,
LTL-ALB-NP,1021219,01-JUL-16,15,,2,46.28333,-125.06667,ALB,264,
LTL-ALB-NP,1021219,02-JUL-16,15,,2,46,-125,ALB,109,
LTL-ALB-NP,1021219,03-JUL-16,15,,2,46.23333,-125.16667,ALB,131,
LTL-ALB-NP,1021219,04-JUL-16,15,,2,46.16667,-125.05,ALB,137,
LTL-ALB-NP,1021219,05-JUL-16,15,,2,46,-125.75,ALB,314,
LTL-ALB-NP,1021219,06-JUL-16,15,,2,46,-125.01667,ALB,179,
LTL-ALB-NP,1021219,07-JUL-16,15,,2,46,-124.91667,ALB,166,
LTL-ALB-NP,1021219,16-JUL-16,12,,2,46.75,-125.05,ALB,346,
LTL-ALB-NP,1021219,17-JUL-16,12,,2,46.78333,-125.06667,ALB,216,
LTL-ALB-NP,1021219,18-JUL-16,12,,2,45.75,-125,ALB,154,
LTL-ALB-NP,1021219,19-JUL-16,12,,2,45.83333,-125.16667,ALB,454,
LTL-ALB-NP,1021219,20-JUL-16,12,,2,45.88333,-125.2,ALB,381,
LTL-ALB-NP,1021219,21-JUL-16,12,,2,45.81667,-125.26667,ALB,420,
LTL-ALB-NP,1021219,22-JUL-16,12,,2,44.2,-125.88333,ALB,100,
LTL-ALB-NP,1021219,23-JUL-16,12,,2,44.16667,-126.16667,ALB,98,
LTL-ALB-NP,1021219,24-JUL-16,12,,2,44.41667,-126.01667,ALB,318,
LTL-ALB-NP,1021219,25-JUL-16,12,,2,44.41667,-125.01667,ALB,74,
LTL-ALB-NP,1021219,01-AUG-16,,,2,47.68333,-126.01667,ALB,581,
LTL-ALB-NP,1021219,02-AUG-16,,,2,47.8,-126.16667,ALB,602,
LTL-ALB-NP,1021219,03-AUG-16,,,2,47.83333,-126.15,ALB,588,
LTL-ALB-NP,1021219,06-AUG-16,,,2,47.83333,-126.2,ALB,312,
LTL-ALB-NP,1021219,07-AUG-16,,,2,47.98333,-126.28333,ALB,210,
LTL-ALB-NP,1021219,08-AUG-16,,,2,48.16667,-126.3,ALB,72,
LTL-ALB-NP,1021219,10-AUG-16,,,2,45.01667,-126.05,ALB,124,
LTL-ALB-NP,1021219,13-AUG-16,11,,2,44.81667,-125.9,ALB,211,
LTL-ALB-NP,1021219,14-AUG-16,11,,2,44.83333,-125.75,ALB,204,
LTL-ALB-NP,1021219,15-AUG-16,11,,2,44.66667,-125.66667,ALB,128,
LTL-ALB-NP,1021219,21-AUG-16,11,,2,45.38333,-125.26667,ALB,156,
LTL-ALB-NP,1021219,22-AUG-16,7,,2,43.51667,-125.46667,ALB,65,
LTL-ALB-NP,1021219,27-AUG-16,11,,2,43.46667,-125.93333,ALB,220,
LTL-ALB-NP,1021219,28-AUG-16,11,,2,43.75,-125.81667,ALB,71,
LTL-ALB-NP,1021219,29-AUG-16,11,,2,44.45,-127.25,ALB,402,
LTL-ALB-NP,1021219,30-AUG-16,11,,2,46.5,-126.16667,ALB,315,
LTL-ALB-NP,1021219,31-AUG-16,11,,2,46.53333,-126.13333,ALB,520,
LTL-ALB-NP,1040092,04-AUG-15,15,,2,46.63333,-124.96667,ALB,1164,0
LTL-ALB-NP,1040092,05-AUG-15,15,,2,46.6,-124.93333,ALB,640,0
LTL-ALB-NP,1040092,06-AUG-15,15,,2,46.53333,-125,ALB,1316,0
LTL-ALB-NP,1040092,07-AUG-15,8,,2,46.61667,-125,ALB,638,0
LTL-ALB-NP,1040092,10-AUG-15,14,,2,47.33333,-125.33333,ALB,662,0
LTL-ALB-NP,1040092,11-AUG-15,14,,2,46.66667,-125,ALB,202,0
LTL-ALB-NP,1040092,12-AUG-15,14,,2,46.5,-125.06667,ALB,836,0
LTL-ALB-NP,1040092,13-AUG-15,14,,2,46.46667,-125.16667,ALB,784,0
LTL-ALB-NP,1040092,14-AUG-15,14,,2,46.58333,-125.16667,ALB,412,0
LTL-ALB-NP,1040092,21-AUG-15,8,,2,46.55,-125.45,ALB,798,0
LTL-ALB-NP,1040092,22-AUG-15,14,,2,46.45,-125.41667,ALB,2824,0
LTL-ALB-NP,1040092,23-AUG-15,14,,2,46.21667,-125.21667,ALB,1926,0
LTL-ALB-NP,1040092,24-AUG-15,14,,2,46.23333,-125.53333,ALB,1362,0
LTL-ALB-NP,1040092,25-AUG-15,4,,2,46.5,-125.16667,ALB,594,0
LTL-ALB-NP,1040092,26-AUG-15,14,,2,46.5,-125.83333,ALB,2082,0
LTL-ALB-NP,1040092,27-AUG-15,14,,2,46.41667,-125.66667,ALB,820,0
LTL-ALB-NP,1040092,01-SEP-15,14,,2,46.5,-125.1,ALB,2200,0
LTL-ALB-NP,1040092,02-SEP-15,14,,2,46,-125,ALB,2470,0
LTL-ALB-NP,1040092,03-SEP-15,9,,2,46.83333,-124.91667,ALB,1770,0
LTL-ALB-NP,1040092,06-SEP-15,13,,2,46.41667,-125.06667,ALB,1476,0
LTL-ALB-NP,1040092,07-SEP-15,13,,2,46.05,-125,ALB,1684,0
LTL-ALB-NP,1040092,08-SEP-15,13,,2,46,-125,ALB,698,0
LTL-ALB-NP,1040092,09-SEP-15,13,,2,46,-124.93333,ALB,672,0
LTL-ALB-NP,1040092,10-SEP-15,13,,2,46.53333,-125,ALB,304,0
LTL-ALB-NP,1040092,11-SEP-15,13,,2,46.41667,-124.93333,ALB,1492,0
LTL-ALB-NP,1040092,18-SEP-15,13,,2,46.93333,-125.2,ALB,1518,0
LTL-ALB-NP,1040092,19-SEP-15,13,,2,47.03333,-125.06667,ALB,1674,0
LTL-ALB-NP,1040092,20-SEP-15,13,,2,47.11667,-125,ALB,1378,0
LTL-ALB-NP,1040092,21-SEP-15,10,,2,47,-125,ALB,136,0
LTL-ALB-NP,1040092,08-JUL-16,,,2,46.3,-125,ALB,536,0
LTL-ALB-NP,1040092,21-JUL-16,15,,2,46.13333,-125.03333,ALB,385,0
LTL-ALB-NP,1040092,22-JUL-16,15,,2,46.23333,-124.06667,ALB,258,0
LTL-ALB-NP,1040092,23-JUL-16,15,,2,46.33333,-125.1,ALB,170,0
LTL-ALB-NP,1040092,24-JUL-16,15,,2,46.16667,-125.05,ALB,8,0
LTL-ALB-NP,1040092,26-JUL-16,15,,2,47.58333,-126.58333,ALB,90,0
LTL-ALB-NP,1040092,01-AUG-16,14,,2,47.73333,-126.46667,ALB,610,0
LTL-ALB-NP,1040092,02-AUG-16,14,,2,47.73333,-126.46667,ALB,930,0
LTL-ALB-NP,1040092,03-AUG-16,14,,2,47.83333,-126.25,ALB,279,0
LTL-ALB-NP,1040092,04-AUG-16,14,,2,47.86667,-126.3,ALB,167,0
LTL-ALB-NP,1040092,05-AUG-16,14,,2,47.8,-126.21667,ALB,305,0
LTL-ALB-NP,1040092,06-AUG-16,14,,2,47.96667,-126.03333,ALB,332,0
LTL-ALB-NP,1040092,07-AUG-16,14,,2,47.83333,-126,ALB,102,0
LTL-ALB-NP,1040092,22-AUG-16,6,,2,46,-125,ALB,5,0
LTL-ALB-NP,1040092,23-AUG-16,14,,2,44.83333,-125.9,ALB,305,0
LTL-ALB-NP,1040092,24-AUG-16,14,,2,45,-126,ALB,252,0
LTL-ALB-NP,1040092,25-AUG-16,14,,2,45.5,-125.83333,ALB,50,0
LTL-ALB-NP,1040092,28-AUG-16,14,,2,45.25,-126,ALB,248,0
LTL-ALB-NP,1040092,29-AUG-16,14,,2,45.3,-126.03333,ALB,537,0
LTL-ALB-NP,1040092,30-AUG-16,14,,2,45.41667,-126.08333,ALB,45,0
LTL-ALB-NP,1040092,31-AUG-16,14,,2,45.75,-125.93333,ALB,397,0
LTL-ALB-NP,1040092,01-SEP-16,14,,2,45.75,-125.9,ALB,241,0
LTL-ALB-NP,1040092,02-SEP-16,14,,2,46.45,-126.25,ALB,762,0
LTL-ALB-NP,1040092,03-SEP-16,14,,2,46.43333,-126.13333,ALB,689,0
LTL-ALB-NP,1040092,04-SEP-16,14,,2,46.41667,-126.5,ALB,375,0
LTL-ALB-NP,1196847,29-JUN-15,,,15,46.1,-124.96667,ALB,30,
LTL-ALB-NP,1196847,06-JUL-15,,,19,46.16667,-125.36667,ALB,38,0
LTL-ALB-NP,1196847,08-JUL-15,,,46,45.96667,-124.88333,ALB,92,0
LTL-ALB-NP,1196847,09-JUL-15,,,82,45.06667,-125.03333,ALB,164,0
LTL-ALB-NP,1196847,21-JUL-15,,,49,45.9,-124.95,ALB,98,
LTL-ALB-NP,1196847,22-JUL-15,,,102,45.95,-124.95,ALB,204,0
LTL-ALB-NP,1196847,23-JUL-15,,,71,45.05,-124.68333,ALB,142,0
LTL-ALB-NP,1196847,28-JUL-15,,,99,45.13333,-124.68333,ALB,198,0
LTL-ALB-NP,1196847,14-AUG-15,,,18,46.13333,-124.88333,ALB,36,0
LTL-ALB-NP,1196847,18-AUG-15,,,31,46.08333,-124.73333,ALB,62,0
LTL-ALB-NP,1196847,06-AUG-16,,,3,46.11667,-125.25,ALB,3,0
LTL-ALB-NP,1222557,16-SEP-16,12,,2,44.5,-125.18333,ALB,275,0
LTL-ALB-NP,1222557,17-SEP-16,12,,2,44.5,-124.11667,ALB,0,0
LTL-ALB-NP,1222557,18-SEP-16,12,,2,44.66667,-125.33333,ALB,180,0
LTL-ALB-NP,1222557,19-SEP-16,12,,2,44.53333,-125.16667,ALB,440,0
LTL-ALB-NP,1222557,20-SEP-16,12,,2,44.51667,-125.18333,ALB,191,0
LTL-ALB-NP,1266895,06-JUL-16,10,,2,46.38333,-124.96667,ALB,158,0
LTL-ALB-NP,236190,07-AUG-15,15,,8,45.7,-125.3,ALB,146,0
LTL-ALB-NP,240425,28-AUG-15,14,,2,46.15,-126.91667,ALB,140,0
LTL-ALB-NP,240425,23-SEP-15,12,,1,46.78333,-125.16667,ALB,0,0
LTL-ALB-NP,242264,22-JUN-16,,,16,43.63333,-124.95,ALB,80,0
LTL-ALB-NP,243806,05-SEP-15,4,,2,46.58333,-124.91667,ALB,106,
LTL-ALB-NP,243806,06-SEP-15,12,,2,46.46667,-125.01667,ALB,302,
LTL-ALB-NP,243806,19-SEP-15,8,,2,46.55,-124.86667,ALB,102,
LTL-ALB-NP,252585,09-SEP-15,6,,1,46.25,-124.83333,ALB,80,
LTL-ALB-NP,500057,20-JUL-15,15,,6,45.53333,-124.91667,ALB,2018,
LTL-ALB-NP,500057,21-JUL-15,15,,6,45.66667,-124.8,ALB,372,
LTL-ALB-NP,500057,22-JUL-15,15,,6,46,-124.8,ALB,798,
LTL-ALB-NP,500057,25-JUL-15,14,,6,45.75,-125,ALB,598,
LTL-ALB-NP,500057,26-JUL-15,14,,6,45.91667,-124.83333,ALB,504,
LTL-ALB-NP,500057,27-JUL-15,14,,6,46.05,-125,ALB,328,
LTL-ALB-NP,500057,05-AUG-15,9,,6,46.66667,-125.13333,ALB,1702,
LTL-ALB-NP,500057,06-AUG-15,9,,6,46.63333,-124.9,ALB,1158,
LTL-ALB-NP,500057,07-AUG-15,9,,6,46.48333,-125,ALB,664,
LTL-ALB-NP,500057,08-AUG-15,9,,6,46.66667,-124.83333,ALB,1468,
LTL-ALB-NP,500057,09-AUG-15,9,,6,46.5,-125,ALB,1536,
LTL-ALB-NP,500057,10-AUG-15,9,,6,46.46667,-125,ALB,1292,
LTL-ALB-NP,500057,13-AUG-15,14,,6,45.66667,-125.83333,ALB,330,
LTL-ALB-NP,500057,14-AUG-15,14,,6,46.83333,-125,ALB,528,
LTL-ALB-NP,500057,15-AUG-15,14,,6,46.7,-125.16667,ALB,1100,
LTL-ALB-NP,500057,16-AUG-15,14,,6,46.76667,-125.41667,ALB,3000,
LTL-ALB-NP,500057,17-AUG-15,14,,6,46.66667,-125.05,ALB,1068,
LTL-ALB-NP,500057,18-AUG-15,14,,6,46.5,-125,ALB,2078,
LTL-ALB-NP,500057,19-AUG-15,6,,6,46.3,-124.91667,ALB,468,
LTL-ALB-NP,500057,20-AUG-15,12,,6,46.13333,-125.08333,ALB,1788,
LTL-ALB-NP,500057,21-AUG-15,12,,6,46,-125,ALB,490,
LTL-ALB-NP,500057,22-AUG-15,12,,6,46.33333,-125.3,ALB,5800,
LTL-ALB-NP,500057,26-AUG-15,12,,6,46.2,-125.5,ALB,3600,
LTL-ALB-NP,500057,27-AUG-15,12,,6,46.3,-125.2,ALB,5800,
LTL-ALB-NP,500057,28-AUG-15,12,,6,46.35,-125.2,ALB,4600,
LTL-ALB-NP,500057,02-SEP-15,12,,6,46.33333,-125.08333,ALB,3310,
LTL-ALB-NP,500057,03-SEP-15,12,,6,46.26667,-125,ALB,2912,
LTL-ALB-NP,500057,04-SEP-15,12,,6,46.11667,-125.11667,ALB,3302,
LTL-ALB-NP,500057,05-SEP-15,12,,6,45.68333,-125.18333,ALB,2750,
LTL-ALB-NP,500057,06-SEP-15,12,,6,45.5,-125.15,ALB,2412,
LTL-ALB-NP,500057,07-SEP-15,12,,6,45.66667,-125.25,ALB,2978,
LTL-ALB-NP,500057,17-SEP-15,4,,6,46.83333,-125.25,ALB,240,
LTL-ALB-NP,500057,18-SEP-15,14,,6,46.91667,-125.15,ALB,2294,
LTL-ALB-NP,500057,19-SEP-15,14,,6,47.01667,-125.01667,ALB,4400,
LTL-ALB-NP,500057,21-SEP-15,14,,6,46.83333,-125.83333,ALB,60,
LTL-ALB-NP,500057,22-SEP-15,8,,6,46.33333,-125,ALB,88,
LTL-ALB-NP,500057,07-JUL-16,14,,6,45.05,-125.16667,ALB,151,
LTL-ALB-NP,500057,08-JUL-16,14,,6,46.4,-125,ALB,729,
LTL-ALB-NP,500057,10-JUL-16,14,,6,46.25,-125,ALB,870,
LTL-ALB-NP,500057,11-JUL-16,14,,6,46.4,-124.91667,ALB,316,
LTL-ALB-NP,500057,21-JUL-16,14,,6,47.25,-125.5,ALB,20,
LTL-ALB-NP,500057,22-JUL-16,14,,6,46.33333,-125.01667,ALB,600,
LTL-ALB-NP,500057,23-JUL-16,14,,6,46.35,-125.11667,ALB,238,
LTL-ALB-NP,500057,24-JUL-16,14,,6,46.06667,-125.13333,ALB,12,
LTL-ALB-NP,500057,25-JUL-16,14,,6,47.06667,-126.5,ALB,30,
LTL-ALB-NP,500057,26-JUL-16,14,,6,47.13333,-125.16667,ALB,600,
LTL-ALB-NP,500057,27-JUL-16,14,,6,47.66667,-125.66667,ALB,438,
LTL-ALB-NP,500057,28-JUL-16,14,,6,47.83333,-125.66667,ALB,365,
LTL-ALB-NP,500057,01-AUG-16,14,,6,47.83333,-126,ALB,1475,
LTL-ALB-NP,500057,02-AUG-16,14,,6,47.8,-126.25,ALB,950,
LTL-ALB-NP,500057,03-AUG-16,14,,6,47.91667,-126.21667,ALB,850,
LTL-ALB-NP,500057,04-AUG-16,14,,6,47.7,-126.06667,ALB,501,
LTL-ALB-NP,500057,05-AUG-16,14,,6,47.85,-126.21667,ALB,700,
LTL-ALB-NP,500057,06-AUG-16,14,,6,47.86667,-126.16667,ALB,500,
LTL-ALB-NP,500057,07-AUG-16,14,,6,47.98333,-126.2,ALB,231,
LTL-ALB-NP,500057,09-AUG-16,10,,6,47.35,-126.51667,ALB,178,
LTL-ALB-NP,500057,19-AUG-16,14,,6,47.5,-126.5,ALB,264,
LTL-ALB-NP,500057,20-AUG-16,14,,6,47.56667,-126.53333,ALB,212,
LTL-ALB-NP,500057,21-AUG-16,14,,6,47.46667,-126.66667,ALB,214,
LTL-ALB-NP,500057,22-AUG-16,14,,6,45.5,-125.25,ALB,37,
LTL-ALB-NP,500057,23-AUG-16,14,,6,45.53333,-125.26667,ALB,40,
LTL-ALB-NP,500057,24-AUG-16,14,,6,47.33333,-126.13333,ALB,125,
LTL-ALB-NP,500057,25-AUG-16,14,,6,46.88333,-125.83333,ALB,12,
LTL-ALB-NP,500057,26-AUG-16,14,,6,45.33333,-125.6,ALB,410,
LTL-ALB-NP,500057,27-AUG-16,14,,6,45.03333,-125.45,ALB,720,
LTL-ALB-NP,500057,28-AUG-16,14,,6,45.05,-125.68333,ALB,1700,
LTL-ALB-NP,500057,29-AUG-16,13,,6,45.56667,-125.95,ALB,725,
LTL-ALB-NP,500057,30-AUG-16,13,,6,45.66667,-125.91667,ALB,415,
LTL-ALB-NP,500057,31-AUG-16,13,,6,45.85,-125.93333,ALB,1000,
LTL-ALB-NP,500057,01-SEP-16,12,,6,46.45,-126.01667,ALB,975,
LTL-ALB-NP,500057,02-SEP-16,12,,6,46.51667,-125.95,ALB,1100,
LTL-ALB-NP,500057,07-SEP-16,4,,7,46.5,-124.83333,ALB,0,
LTL-ALB-NP,500057,08-SEP-16,14,,7,45.06667,-125.33333,ALB,1100,
LTL-ALB-NP,500057,09-SEP-16,14,,7,45.05,-125.5,ALB,270,
LTL-ALB-NP,500057,10-SEP-16,14,,7,45.13333,-125.4,ALB,1100,
LTL-ALB-NP,500057,11-SEP-16,14,,7,44.81667,-125.18333,ALB,905,
LTL-ALB-NP,500057,12-SEP-16,12,,7,45.16667,-125.46667,ALB,840,
LTL-ALB-NP,500057,13-SEP-16,14,,7,45,-125.3,ALB,1100,
LTL-ALB-NP,500057,14-SEP-16,13,,7,44.83333,-125.26667,ALB,1450,
LTL-ALB-NP,500057,15-SEP-16,14,,7,44.85,-125.26667,ALB,1250,
LTL-ALB-NP,500057,16-SEP-16,12,,7,44.6,-125.21667,ALB,390,
LTL-ALB-NP,500057,20-SEP-16,5,,6,46.9,-124.1,ALB,702,
LTL-ALB-NP,500057,21-SEP-16,12,,6,45.6,-125.76667,ALB,851,
LTL-ALB-NP,500057,25-SEP-16,12,,6,45.36667,-125.65,ALB,733,
LTL-ALB-NP,500057,26-SEP-16,12,,6,45.3,-125.56667,ALB,718,
LTL-ALB-NP,500057,27-SEP-16,2,,6,45.88333,-125.23333,ALB,225,
LTL-ALB-NP,500057,28-SEP-16,12,,6,45.93333,-125.48333,ALB,730,
LTL-ALB-NP,500057,30-SEP-16,12,,6,45.28333,-125.43333,ALB,1400,
LTL-ALB-NP,500057,02-OCT-16,4,,6,46.45,-125.53333,ALB,120,
LTL-ALB-NP,500057,23-AUG-17,14,,5,45.5,-124.95,ALB,264,
LTL-ALB-NP,500057,24-AUG-17,14,,5,45.53333,-124.86667,ALB,82,
LTL-ALB-NP,500057,25-AUG-17,14,,5,45.36667,-124.96667,ALB,270,
LTL-ALB-NP,500057,26-AUG-17,12,,5,45.53333,-124.91667,ALB,6,
LTL-ALB-NP,500057,27-AUG-17,12,,5,45.15,-125.18333,ALB,228,
LTL-ALB-NP,500057,28-AUG-17,12,,5,45.13333,-125.25,ALB,334,
LTL-ALB-NP,500057,29-AUG-17,12,,5,46.16667,-124.86667,ALB,134,
LTL-ALB-NP,500057,30-AUG-17,12,,5,45.55,-124.75,ALB,72,
LTL-ALB-NP,500057,31-AUG-17,12,,5,45.3,-126.03333,ALB,81,
LTL-ALB-NP,500057,01-SEP-17,12,,5,45.2,-125.2,ALB,106,
LTL-ALB-NP,500057,02-SEP-17,12,,5,45.36667,-125.9,ALB,589,
LTL-ALB-NP,500057,03-SEP-17,12,,5,45.48333,-125.86667,ALB,1335,
LTL-ALB-NP,500057,04-SEP-17,12,,5,45.5,-126.26667,ALB,298,
LTL-ALB-NP,500057,05-SEP-17,12,,5,46.86667,-125.81667,ALB,762,
LTL-ALB-NP,500057,06-SEP-17,12,,5,46.96667,-125.96667,ALB,398,
LTL-ALB-NP,500057,07-SEP-17,10,,5,47.3,-126.01667,ALB,707,
LTL-ALB-NP,500057,14-SEP-17,12,,5,47.35,-125.66667,ALB,1420,
LTL-ALB-NP,500057,15-SEP-17,12,,5,47.45,-125.26667,ALB,1020,
LTL-ALB-NP,500057,21-SEP-17,6,,5,47.43333,-125.6,ALB,81,
